Quarter,Region,Trust_type,Trust_subtype,Trust_code,Trust_name,Domain,Sub-domain,Metric_ID,Metric_description,Reporting_date,Units,Value,Median_value,Lower_quartile,Upper_quartile,Rank
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RX9,East Midlands Ambulance Service NHS Trust,"Finance, productivity and innovation",Finance,OF0079,Planned surplus/deficit,Jun-26,%,0.0,0.0,0.0,0.0,2.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RYA,West Midlands Ambulance Service University NHS Foundation Trust,"Finance, productivity and innovation",Finance,OF0079,Planned surplus/deficit,Jun-26,%,0.0,0.0,0.0,0.0,2.0
Q1 2026/27,East,Ambulance trust,Ambulance,RYC,East of England Ambulance Service NHS Trust,"Finance, productivity and innovation",Finance,OF0079,Planned surplus/deficit,Jun-26,%,0.02,0.0,0.0,0.0,1.0
Q1 2026/27,South East,Ambulance trust,Ambulance,RYD,South East Coast Ambulance Service NHS Foundation Trust,"Finance, productivity and innovation",Finance,OF0079,Planned surplus/deficit,Jun-26,%,0.0,0.0,0.0,0.0,2.0
Q1 2026/27,South East,Ambulance trust,Ambulance,RYE,South Central Ambulance Service NHS Foundation Trust,"Finance, productivity and innovation",Finance,OF0079,Planned surplus/deficit,Jun-26,%,0.0,0.0,0.0,0.0,2.0
Q1 2026/27,South West,Ambulance trust,Ambulance,RYF,South Western Ambulance Service NHS Foundation Trust,"Finance, productivity and innovation",Finance,OF0079,Planned surplus/deficit,Jun-26,%,0.0,0.0,0.0,0.0,2.0
Q1 2026/27,London,Ambulance trust,Ambulance,RRU,London Ambulance Service NHS Trust,"Finance, productivity and innovation",Finance,OF0081,Variance to plan year-to-date,Jun-26,%,1.32,0.19,0.04,0.35,1.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX6,North East Ambulance Service NHS Foundation Trust,"Finance, productivity and innovation",Finance,OF0081,Variance to plan year-to-date,Jun-26,%,0.12,0.19,0.04,0.35,7.0
Q1 2026/27,North West,Ambulance trust,Ambulance,RX7,North West Ambulance Service NHS Trust,"Finance, productivity and innovation",Finance,OF0081,Variance to plan year-to-date,Jun-26,%,0.65,0.19,0.04,0.35,2.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX8,Yorkshire Ambulance Service NHS Trust,"Finance, productivity and innovation",Finance,OF0081,Variance to plan year-to-date,Jun-26,%,0.21,0.19,0.04,0.35,4.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RX9,East Midlands Ambulance Service NHS Trust,"Finance, productivity and innovation",Finance,OF0081,Variance to plan year-to-date,Jun-26,%,0.18,0.19,0.04,0.35,6.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RYA,West Midlands Ambulance Service University NHS Foundation Trust,"Finance, productivity and innovation",Finance,OF0081,Variance to plan year-to-date,Jun-26,%,0.19,0.19,0.04,0.35,5.0
Q1 2026/27,East,Ambulance trust,Ambulance,RYC,East of England Ambulance Service NHS Trust,"Finance, productivity and innovation",Finance,OF0081,Variance to plan year-to-date,Jun-26,%,0.39,0.19,0.04,0.35,3.0
Q1 2026/27,South East,Ambulance trust,Ambulance,RYD,South East Coast Ambulance Service NHS Foundation Trust,"Finance, productivity and innovation",Finance,OF0081,Variance to plan year-to-date,Jun-26,%,0.0,0.19,0.04,0.35,9.0
Q1 2026/27,South East,Ambulance trust,Ambulance,RYE,South Central Ambulance Service NHS Foundation Trust,"Finance, productivity and innovation",Finance,OF0081,Variance to plan year-to-date,Jun-26,%,0.01,0.19,0.04,0.35,8.0
Q1 2026/27,South West,Ambulance trust,Ambulance,RYF,South Western Ambulance Service NHS Foundation Trust,"Finance, productivity and innovation",Finance,OF0081,Variance to plan year-to-date,Jun-26,%,0.0,0.19,0.04,0.35,9.0
Q1 2026/27,London,Ambulance trust,Ambulance,RRU,London Ambulance Service NHS Trust,People,People and culture,OF0082,Sickness absence rate,Mar-26,%,6.93,7.47,7.04,7.87,3.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX6,North East Ambulance Service NHS Foundation Trust,People,People and culture,OF0082,Sickness absence rate,Mar-26,%,7.47,7.47,7.04,7.87,6.0
Q1 2026/27,North West,Ambulance trust,Ambulance,RX7,North West Ambulance Service NHS Trust,People,People and culture,OF0082,Sickness absence rate,Mar-26,%,7.97,7.47,7.04,7.87,8.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX8,Yorkshire Ambulance Service NHS Trust,People,People and culture,OF0082,Sickness absence rate,Mar-26,%,8.37,7.47,7.04,7.87,10.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RX9,East Midlands Ambulance Service NHS Trust,People,People and culture,OF0082,Sickness absence rate,Mar-26,%,7.46,7.47,7.04,7.87,5.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RYA,West Midlands Ambulance Service University NHS Foundation Trust,People,People and culture,OF0082,Sickness absence rate,Mar-26,%,4.65,7.47,7.04,7.87,1.0
Q1 2026/27,East,Ambulance trust,Ambulance,RYC,East of England Ambulance Service NHS Trust,People,People and culture,OF0082,Sickness absence rate,Mar-26,%,8.1,7.47,7.04,7.87,9.0
Q1 2026/27,South East,Ambulance trust,Ambulance,RYD,South East Coast Ambulance Service NHS Foundation Trust,People,People and culture,OF0082,Sickness absence rate,Mar-26,%,7.57,7.47,7.04,7.87,7.0
Q1 2026/27,South East,Ambulance trust,Ambulance,RYE,South Central Ambulance Service NHS Foundation Trust,People,People and culture,OF0082,Sickness absence rate,Mar-26,%,7.39,7.47,7.04,7.87,4.0
Q1 2026/27,South West,Ambulance trust,Ambulance,RYF,South Western Ambulance Service NHS Foundation Trust,People,People and culture,OF0082,Sickness absence rate,Mar-26,%,5.73,7.47,7.04,7.87,2.0
Q1 2026/27,London,Ambulance trust,Ambulance,RRU,London Ambulance Service NHS Trust,People,People and culture,OF0084,NHS staff survey engagement theme sub-score ,2025,%,5.93,5.91,5.65,6.04,5.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX6,North East Ambulance Service NHS Foundation Trust,People,People and culture,OF0084,NHS staff survey engagement theme sub-score ,2025,%,6.08,5.91,5.65,6.04,2.0
Q1 2026/27,North West,Ambulance trust,Ambulance,RX7,North West Ambulance Service NHS Trust,People,People and culture,OF0084,NHS staff survey engagement theme sub-score ,2025,%,6.06,5.91,5.65,6.04,3.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX8,Yorkshire Ambulance Service NHS Trust,People,People and culture,OF0084,NHS staff survey engagement theme sub-score ,2025,%,6.29,5.91,5.65,6.04,1.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RX9,East Midlands Ambulance Service NHS Trust,People,People and culture,OF0084,NHS staff survey engagement theme sub-score ,2025,%,5.9,5.91,5.65,6.04,6.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RYA,West Midlands Ambulance Service University NHS Foundation Trust,People,People and culture,OF0084,NHS staff survey engagement theme sub-score ,2025,%,5.49,5.91,5.65,6.04,10.0
Q1 2026/27,East,Ambulance trust,Ambulance,RYC,East of England Ambulance Service NHS Trust,People,People and culture,OF0084,NHS staff survey engagement theme sub-score ,2025,%,5.63,5.91,5.65,6.04,8.0
